"fid","id","id_local","id_osm","code_com","xlong","ylat","capacite","capacite_cargo","mobilier","protection","couverture","acces","surveillance","lumiere","url_info","d_service","source","proprietaire","gestionnaire","date_maj","commentaires","nom_local","commune_local","adresse_local","gratuit","type_accroche","type","CODE","epci",lon,lat
"1","1","1","null","38185","5.714075929740791","45.18142079982441","40","1","DIVERS : RACK VERTICAL ET ARCE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2020-04-01","SMMAG","GAM","ParkGAM","2021-05-18","Park","Park Irvoy","Grenoble","18 Rue Irvoy","null","null","stationnementcyclable","0","LaMetro",5.71408,45.18142
"2","3","3","null","38185","5.704257973161902","45.20277015862671","37","1","DIVERS : RACK VERTICAL ET ARCE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2020-04-01","SMMAG","GAM","ParkGAM","2021-05-18","Park","Park Presqu'île","Grenoble","84 rue des Martyrs","null","null","stationnementcyclable","1","LaMetro",5.70426,45.20277
"3","4","4","null","38185","5.712925395829962","45.19206423812199","42","1","DIVERS : RACK VERTICAL ET ARCE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2020-04-01","SMMAG","GAM","ParkGAM","2021-05-18","Park","Park gare Europole","Grenoble","2 Avenue Doyen Louis Weil","null","null","stationnementcyclable","2","LaMetro",5.71293,45.19206
"4","5","5","null","38185","5.733306765873736","45.19485137766205","37","1","DIVERS : RACK VERTICAL ET ARCE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2020-04-01","SMMAG","GAM","ParkGAM","2021-05-18","Park","Park Notre Dame Musée","Grenoble","50 Avenue Maréchal Randon","null","null","stationnementcyclable","3","LaMetro",5.73331,45.19485
"5","6","6","null","38185","5.726688260365962","45.186176875436374","101","1","DIVERS : RACK VERTICAL ET ARCE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2020-04-01","SMMAG","GAM","ParkGAM","2021-05-18","Park","Park Victor Hugo","Grenoble","Rue François Raoult","null","null","stationnementcyclable","4","LaMetro",5.72669,45.18618
"6","7","7","null","38185","5.741103479081844","45.18845436098084","123","1","DIVERS : RACK VERTICAL ET ARCE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2020-04-01","SMMAG","GAM","ParkGAM","2021-05-18","Park","Park Mistral Mairie","Grenoble","419 Avenue de Valmy","null","null","stationnementcyclable","5","LaMetro",5.7411,45.18845
"7","8","8","null","38185","5.738740479664096","45.16200017928209","50","1","DIVERS : RACK VERTICAL ET ARCE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2020-04-01","SMMAG","GAM","ParkGAM","2021-05-18","Park","Park Géants","Grenoble","10 Place des Géants","null","null","stationnementcyclable","6","LaMetro",5.73874,45.162
"8","9","9","null","38185","5.710743709185331","45.188842653736465","20","1","DIVERS : RACK VERTICAL ET ARCE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2020-04-01","SMMAG","GAM","ParkGAM","2021-05-18","Park","Park Le Cèdre","Grenoble","Rue Anthoard","null","null","stationnementcyclable","7","LaMetro",5.71074,45.18884
"9","10","10","null","38185","5.71679688634598","45.18919661283872","29","1","DIVERS : RACK VERTICAL ET ARCE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2020-04-01","SMMAG","GAM","ParkGAM","2021-05-18","Park","Park Estacade","Grenoble","22 Rue Colonel Denfert Rochereau","null","null","stationnementcyclable","8","LaMetro",5.7168,45.1892
"10","20","20","null","38382","5.7840275271153185","45.18788494429135","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2022-12-01","SMMAG","SMMAG","Mvélo+","2022-11-10","minibox","PLAINE DES SPORTS","Gières","Rue des Glairons","null","null","stationnementcyclable","9","LaMetro",5.78403,45.18788
"11","21","21","null","38516","5.735491755164916","45.20211490483794","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-03-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","CHARPENNAY 2","La Tronche","Quai Charpennay","null","null","stationnementcyclable","10","LaMetro",5.73549,45.20211
"12","22","22","null","38151","5.719049","45.152786","70","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2015-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","mobilier","GARE ECHIROLLES","Échirolles","null","null","null","stationnementcyclable","11","LaMetro",5.71905,45.15279
"13","23","23","null","38516","5.735632849848395","45.2021837442768","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-03-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","CHARPENNAY 1","La Tronche","Quai Eugène Charpennay","null","null","stationnementcyclable","12","LaMetro",5.73563,45.20218
"14","24","24","null","38185","5.734100307170421","45.18939478108618","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-03-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","VILLARS-HEBERT","Grenoble","3b rue Dominique Villars","null","null","stationnementcyclable","13","LaMetro",5.7341,45.18939
"15","25","25","null","38185","5.734765597708225","45.18854151429166","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-03-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","VILLARS-FAURE","Grenoble","9 rue Dominque Villars","null","null","stationnementcyclable","14","LaMetro",5.73477,45.18854
"16","27","27","null","38516","5.750121361405969","45.1987205458914","35","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2015-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","batiment","GRAND SABLON P+R","La Tronche","4 avenue de l'Obiou","null","null","stationnementcyclable","15","LaMetro",5.75012,45.19872
"17","35","35","null","38039","5.878298","45.26448","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","CLOYERES","Bernin","Parking des Cloyères","null","null","stationnementcyclable","16","LeGresivaudan",5.8783,45.26448
"18","36","36","null","38214","5.907408","45.302397","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","LONGS PRES","Lumbin","null","null","null","stationnementcyclable","17","LeGresivaudan",5.90741,45.3024
"19","37","37","null","38185","5.731497239417079","45.182431491843744","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-03-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","CHAMPON","Grenoble","10 avenue Général Champon","null","null","stationnementcyclable","18","LaMetro",5.7315,45.18243
"20","38","38","null","38185","5.73112073372301","45.1964058622073","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-03-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","CHEVALIER-JOUVIN","Grenoble","1 rue André Chevalier","null","null","stationnementcyclable","19","LaMetro",5.73112,45.19641
"21","39","39","null","38185","5.719147962339107","45.1950122869931","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-03-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","LYON","Grenoble","22-24 route de Lyon","null","null","stationnementcyclable","20","LaMetro",5.71915,45.19501
"22","40","40","null","38185","5.722910652887715","45.190567310040215","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-03-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","AUGIER","Grenoble","6 rue Augier","null","null","stationnementcyclable","21","LaMetro",5.72291,45.19057
"23","41","41","null","38421","5.750746509634934","45.184820765126545","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-03-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","CROIZAT","Saint-Martin-d'Hères","81 avenue Ambroise Croizat","null","null","stationnementcyclable","22","LaMetro",5.75075,45.18482
"24","42","42","null","38229","5.758016888919268","45.20562268786962","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-03-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","PLAINE FLEURIE","Meylan","20 avenue de la Plaine Fleurie","null","null","stationnementcyclable","23","LaMetro",5.75802,45.20562
"25","43","43","null","38179","5.785302","45.185037","70","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2015-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","mobilier","GIERES 1 - GARE","Gières","Rue de la gare","null","null","stationnementcyclable","24","LaMetro",5.7853,45.18504
"26","44","44","null","38179","5.784900711190701","45.18574140361437","106","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2015-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","batiment","GIERES 2 - TRAM","Gières","5 rue du Grand Mas","null","null","stationnementcyclable","25","LaMetro",5.7849,45.18574
"27","49","49","null","38179","5.783138888888888","45.17830555555548","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-11-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","REPOS","Gières","30-32 rue du Repos","null","null","stationnementcyclable","26","LaMetro",5.78314,45.17831
"28","50","50","null","38185","5.714108","45.19234","552","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2015-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","batiment","SILO EST","Grenoble","1 place de la Gare","null","null","stationnementcyclable","27","LaMetro",5.71411,45.19234
"29","51","51","null","38185","5.704903","45.180505","30","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2015-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","batiment","CATANE P+R","Grenoble","Rue Ampère","null","null","stationnementcyclable","28","LaMetro",5.7049,45.1805
"30","2","2","null","38185","5.712676137872966","45.185827793529725","60","1","DIVERS : RACK VERTICAL ET ARCE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2020-04-01","SMMAG","GAM","ParkGAM","2021-05-18","Park","Park Saint-Bruno","Grenoble","33 bis Rue Nicolas Chorier","null","null","stationnementcyclable","29","LaMetro",5.71268,45.18583
"31","14","14","null","38185","5.727674253529398","45.188255094944566","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2022-11-01","SMMAG","SMMAG","Mvélo+","2022-10-20","minibox","MARTIN","Grenoble","Place Vaucanson","null","null","stationnementcyclable","30","LaMetro",5.72767,45.18826
"32","53","53","null","38185","5.713599","45.191663","596","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2015-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","batiment","SILO OUEST","Grenoble","Rue de la Frise","null","null","stationnementcyclable","31","LaMetro",5.7136,45.19166
"33","58","58","null","38185","5.717509","45.198826","30","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2015-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","mobilier","ESPLANADE P+R","Grenoble","Route de Lyon","null","null","stationnementcyclable","32","LaMetro",5.71751,45.19883
"34","59","59","null","38185","5.719451666817036","45.19086751652526","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2019-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","FELIX VIALLET","Grenoble","27 avenue Félix Viallet","null","null","stationnementcyclable","33","LaMetro",5.71945,45.19087
"35","60","60","null","38185","5.719505215533482","45.18893521033769","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-11-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","JEAN JAURES","Grenoble","79 cours Jean Jaurès","null","null","stationnementcyclable","34","LaMetro",5.71951,45.18894
"36","61","61","null","38185","5.742506074892749","45.177206980257665","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2019-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","JEAN BART","Grenoble","29 rue Jean Bart","null","null","stationnementcyclable","35","LaMetro",5.74251,45.17721
"37","62","62","null","38185","5.705736111111111","45.18920555555547","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-03-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","BERRIAT MAGASIN","Grenoble","6 Rue Diderot","null","null","stationnementcyclable","36","LaMetro",5.70574,45.18921
"38","63","63","null","38185","5.743088888888888","45.171744444444364","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-11-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","PAUL COCAT","Grenoble","12 Avenue Paul Cocat","null","null","stationnementcyclable","37","LaMetro",5.74309,45.17174
"39","64","64","null","38185","5.715972222222222","45.178222222222146","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-11-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","LIBERATION","Grenoble","27-15 cours de la Libération","null","null","stationnementcyclable","38","LaMetro",5.71597,45.17822
"40","65","65","null","38185","5.726652777777777","45.18245555555548","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-11-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","ANDRE MAGINOT","Grenoble","4 Rue André Maginot","null","null","stationnementcyclable","39","LaMetro",5.72665,45.18246
"41","66","66","null","38179","5.783138888888888","45.17830555555548","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-11-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","THIERS","Grenoble","26 rue Thiers","null","null","stationnementcyclable","40","LaMetro",5.78314,45.17831
"42","73","73","null","38511","5.955012","45.35768","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","GRANDES TERRES","Le Touvet","null","null","null","stationnementcyclable","41","LeGresivaudan",5.95501,45.35768
"43","74","74","null","38317","5.703526842986168","45.137757422284125","96","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2015-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","mobilier","ETOILE","Le Pont-de-Claix","Avenue Charles de Gaulle","null","null","stationnementcyclable","42","LaMetro",5.70353,45.13776
"44","75","75","null","38249","5.819255074659242","45.22424581311944","20","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2015-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","mobilier","PRE DE L'EAU P+R","Montbonnot-Saint-Martin","Chemin du Moulin","null","null","stationnementcyclable","43","LeGresivaudan",5.81926,45.22425
"45","76","76","null","38249","5.819913064550483","45.22393326138526","20","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2015-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","mobilier","PRE DE L'EAU TERMINUS BUS","Montbonnot-Saint-Martin","Route de la Doux","null","null","stationnementcyclable","44","LeGresivaudan",5.81991,45.22393
"46","79","79","null","38314","6.007822","45.433911","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","GARE","Pontcharra","null","null","null","stationnementcyclable","45","LeGresivaudan",6.00782,45.43391
"47","80","80","null","38421","5.753981045043099","45.18541287831288","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2019-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","ALFRED KASTLER","Saint-Martin-d'Hères","14 rue Alfred Kastler","null","null","stationnementcyclable","46","LaMetro",5.75398,45.18541
"48","83","83","null","38474","5.661105","45.213582","100","0","RACK DOUBLE ETAGE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2015-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","mobilier","JEAN PREVOST","Sassenage","Place Jean Prévost","null","null","stationnementcyclable","47","LaMetro",5.66111,45.21358
"49","85","85","null","38431","5.847328","45.256417","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","ROUTE DE CHAMBERY","Saint-Nazaire-les-Eymes","Route de Chambéry","null","null","stationnementcyclable","48","LeGresivaudan",5.84733,45.25642
"50","88","88","null","38485","5.6955","45.1800277777777","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-07-15","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","VEIL","Seyssinet-Pariset","Rue Simone Veil","null","null","stationnementcyclable","49","LaMetro",5.6955,45.18003
"51","94","94","null","38501","5.953182","45.304094","5","0","RATELIER AVEC ARCEAU","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2020-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","minibox","PRE SEC","Tencin","Allée Pré Sec","null","null","stationnementcyclable","50","LeGresivaudan",5.95318,45.30409
"52","11","11","null","38185","5.712308044578671","45.19327038782056","64","1","DIVERS : RACK VERTICAL ET ARCE","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","true","true","https://www.veloplus-m.fr/","2020-04-01","SMMAG","GAM","ParkGAM","2021-05-18","Park","Park Gare Palais de justice","Grenoble","34 Avenue Doyen Louis Weil","null","null","stationnementcyclable","51","LaMetro",5.71231,45.19327
